module,type,name,res_id,src,value,comments
web_unsplash,model,"account.account.type,name",account.data_account_off_sheet,Off-Balance Sheet,Hoja de Desbalance,
web_unsplash,model,"account.account.type,name",account.data_account_type_credit_card,Credit Card,Tarjetas de Crédito,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_assets,Current Assets,Activos Circulantes,
web_unsplash,model,"account.account.type,name",account.data_account_type_current_liabilities,Current Liabilities,Pasivo circulantes,
web_unsplash,model,"account.account.type,name",account.data_account_type_depreciation,Depreciation,Amortización,
web_unsplash,model,"account.account.type,name",account.data_account_type_direct_costs,Cost of Revenue,Coste directo de la ventas,
web_unsplash,model,"account.account.type,name",account.data_account_type_equity,Equity,Valor neto,
web_unsplash,model,"account.account.type,name",account.data_account_type_expenses,Expenses,Gastos,
web_unsplash,model,"account.account.type,name",account.data_account_type_fixed_assets,Fixed Assets,Activos fijos,
web_unsplash,model,"account.account.type,name",account.data_account_type_liquidity,Bank and Cash,Banco y caja,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_assets,Non-current Assets,Activos no-circulantes,
web_unsplash,model,"account.account.type,name",account.data_account_type_non_current_liabilities,Non-current Liabilities,Pasivos no-circulantes,
web_unsplash,model,"account.account.type,name",account.data_account_type_other_income,Other Income,Otro Ingreso,
web_unsplash,model,"account.account.type,name",account.data_account_type_payable,Payable,A pagar,
web_unsplash,model,"account.account.type,name",account.data_account_type_prepayments,Prepayments,Pre-pagos,
web_unsplash,model,"account.account.type,name",account.data_account_type_receivable,Receivable,Por cobrar,
web_unsplash,model,"account.account.type,name",account.data_account_type_revenue,Income,Ingreso,
web_unsplash,model,"account.account.type,name",account.data_unaffected_earnings,Current Year Earnings,Ganancias año actual,
web_unsplash,model,"account.incoterms,name",account.incoterm_CFR,COST AND FREIGHT,COSTE Y FLETE,
web_unsplash,model,"account.incoterms,name",account.incoterm_CIF,"COST, INSURANCE AND FREIGHT","COSTE, SEGURO Y FLETE",
web_unsplash,model,"account.incoterms,name",account.incoterm_CIP,CARRIAGE AND INSURANCE PAID TO,TRANSPORTE Y SEGURO PAGADO A,
web_unsplash,model,"account.incoterms,name",account.incoterm_CPT,CARRIAGE PAID TO,TRANSPORTE PAGADO A,
web_unsplash,model,"account.incoterms,name",account.incoterm_DAP,DELIVERED AT PLACE,ENTREGADO EN EL LUGAR,
web_unsplash,model,"account.incoterms,name",account.incoterm_DDP,DELIVERED DUTY PAID,DEBER DE ENTREGA PAGADO,
web_unsplash,model,"account.incoterms,name",account.incoterm_DPU,DELIVERED AT PLACE UNLOADED,ENTREGADO EN LUGAR DESCARGADO,
web_unsplash,model,"account.incoterms,name",account.incoterm_EXW,EX WORKS,En fábrica,
web_unsplash,model,"account.incoterms,name",account.incoterm_FAS,FREE ALONGSIDE SHIP,GRATIS JUNTO AL BARCO,
web_unsplash,model,"account.incoterms,name",account.incoterm_FCA,FREE CARRIER,LIBRE TRANSPORTISTA,
web_unsplash,model,"account.incoterms,name",account.incoterm_FOB,FREE ON BOARD,GRATIS A BORDO,
web_unsplash,model,"account.payment.method,name",account.account_payment_method_manual_in,Manual,Manual,
web_unsplash,model,"account.payment.method,name",account.account_payment_method_manual_out,Manual,Manual,
web_unsplash,model,"account.payment.method,name",payment.account_payment_method_electronic_in,Electronic,Electrónico,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,15 Días,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_15days,Payment terms: 15 Days,Plazo de pago: 15 días ,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_21days,21 Days,21 Días,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_21days,Payment terms: 21 Days,Plazo de pago: 21 días ,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_2months,2 Months,2 Meses,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_2months,Payment terms: 2 Months,Condiciones de pago: 2 meses,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_30days,30 Days,30 días,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_30days,Payment terms: 30 Days,Plazo de pago: 30 días,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_45days,45 Days,45 Días,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_45days,Payment terms: 45 Days,Condiciones de pago: 45 días,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_advance,30% Advance End of Following Month,30% Anticipo - Restante Al Fin del Mes Siguiente,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_advance,Payment terms: 30% Advance End of Following Month,Plazo de pago: 30% adelanto a final del mes siguiente,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_advance_60days,"30% Now, Balance 60 Days","30% Ahora, Balance 60 Días",
web_unsplash,model,"account.payment.term,note",account.account_payment_term_advance_60days,"Payment terms: 30% Now, Balance 60 Days","Plazo de pago: 30% hoy, balancear en 60 días",
web_unsplash,model,"account.payment.term,name",account.account_payment_term_end_following_month,End of Following Month,Fin de Mes Siguiente,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_end_following_month,Payment terms: End of Following Month,Plazo de pago: fin del mes siguiente,
web_unsplash,model,"account.payment.term,name",account.account_payment_term_immediate,Immediate Payment,Pago inmediato,
web_unsplash,model,"account.payment.term,note",account.account_payment_term_immediate,Payment terms: Immediate Payment,Plazo de pago: Pago inmediato,
web_unsplash,model,"account.tax.group,name",account.tax_group_taxes,Taxes,Impuestos,
web_unsplash,model,"account.tax.group,name",l10n_hn.tax_group_iva_15,IVA 15%,IVA 15%,
web_unsplash,model,"digest.tip,name",account.digest_tip_account_0,"Tip: No need to print, put in an envelop and post your invoices","Consejo: no es necesario imprimir, poner en un sobre y enviar sus facturas",
web_unsplash,model_terms,"digest.tip,tip_description",account.digest_tip_account_0,"Use the “<i>Send by Post</i>” option to post invoices automatically. For the cost of a local stamp, we do all the manual work: your invoice will be printed in the right country, put in an envelop and sent by snail mail. Use this feature from the list view to post hundreds of invoices in bulk.","Utilice la opción "" <i>Enviar por correo</i> "" para registrar facturas automáticamente. Por el costo de un sello local, hacemos todo el trabajo manual: su factura se imprimirá en el país correcto, se colocará en un sobre y se enviará por correo postal. Utilice esta función de la vista de lista para registrar cientos de facturas de forma masiva.",
web_unsplash,model_terms,"digest.tip,tip_description",account.digest_tip_account_0,"Tip: No need to print, put in an envelop and post your invoices","Consejo: no es necesario imprimir, poner en un sobre y enviar sus facturas",
web_unsplash,model,"digest.tip,name",digest.digest_tip_digest_0,Tip: Speed up your workflow with shortcuts,Tip: Speed up your workflow with shortcuts,
web_unsplash,model_terms,"digest.tip,tip_description",digest.digest_tip_digest_0,Press ALT in any screen to highlight shortcuts for every button in the screen. It is useful to process multiple documents in batch.,Press ALT in any screen to highlight shortcuts for every button in the screen. It is useful to process multiple documents in batch.,
web_unsplash,model_terms,"digest.tip,tip_description",digest.digest_tip_digest_0,Tip: Speed up your workflow with shortcuts,Tip: Speed up your workflow with shortcuts,
web_unsplash,model,"digest.tip,name",digest.digest_tip_digest_1,Tip: Click on an avatar to chat with a user,Tip: Click on an avatar to chat with a user,
